,50x50,100x100,200x200,400x400,800x800,1200x1200,1600x1600,2000x2000
i-j-k,30658,257604,2297799,72387897,597755729,3184688981,8346541778,22503071958
j-i-k,28595,253149,2592073,83376716,682799362,3180747275,8338639571,22438644324
j-k-i,30182,296540,9484435,139955472,1426324759,5487921237,14634775781,42836987629
k-j-i,28141,297738,9548404,139956189,1426580028,5488553203,14639814623,42232835800
i-k-j,30456,250589,2004970,16140843,129413781,831184959,2062986416,4018135764
k-i-j,32587,258059,2034713,16268604,131881023,838873960,2069580656,4026615860
