,50x50,100x100,200x200,400x400,800x800,1200x1200,1600x1600,2000x2000
i-j-k,1005292,8079736,65599354,543839139,4544616422,15469828262,37253424647,72473671542
j-i-k,1001473,8012822,64903713,536723608,4569870479,15455959270,37244519834,72808572847
j-k-i,875468,7004663,56577922,532396403,4273265069,14332473071,34401443217,67365291501
k-j-i,875317,7010273,56531165,538468216,4354980669,14589002900,34953302461,68328361069
i-k-j,875108,7002841,56033834,448176241,3586162749,12103768206,28687455346,56028296642
k-i-j,875210,7007120,56031235,448202327,3587553428,12108364348,28705414022,56063362514
